"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVD","HIVD","","","",0,*,"","","","null {[]} {[]}
","HIV.D Care-Treatment Logical Model","Logical Model for HIV.D Care-Treatment data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVD.stoppedArt","HIVD.stoppedArt","","","",1,1,"","","","string {[]} {[]}
","Stopped ART","Client stopped taking ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE40
",,,,"HIVD.stoppedArt",1,1,"",""
"HIVD.dateArtStopped","HIVD.dateArtStopped","","","",1,1,"","","","string {[]} {[]}
","Date ART stopped","Date on which client stopped ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE41
",,,,"HIVD.dateArtStopped",1,1,"",""
"HIVD.establishedOnArt","HIVD.establishedOnArt","","","",1,1,"","","","string {[]} {[]}
","Established on ART","Is the client successfully established on ART?","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE42
",,,,"HIVD.establishedOnArt",1,1,"",""
"HIVD.artStartType","HIVD.artStartType","","","",1,1,"","","","string {[]} {[]}
","ART start type","Whether the client is ART naive or is restarting ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE43
",,,,"HIVD.artStartType",1,1,"",""
"HIVD.firstTimeUserOfArt","HIVD.firstTimeUserOfArt","","","",1,1,"","","","string {[]} {[]}
","First-time user of ART","Client is ART naive, having never taken ART to treat HIV before","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE44
",,,,"HIVD.firstTimeUserOfArt",1,1,"",""
"HIVD.restartingArt","HIVD.restartingArt","","","",1,1,"","","","string {[]} {[]}
","Restarting ART","Client is restarting ART after stopping treatment for any reason","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE45
",,,,"HIVD.restartingArt",1,1,"",""
"HIVD.dateOfInitiationOnArt","HIVD.dateOfInitiationOnArt","","","",1,1,"","","","string {[]} {[]}
","Date of initiation on ART","The date on which the client was first initiated on ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE46
",,,,"HIVD.dateOfInitiationOnArt",1,1,"",""
"HIVD.timeOnArt","HIVD.timeOnArt","","","",1,1,"","","","string {[]} {[]}
","Time on ART","Time the client has been on ART since starting or restarting it in years and months","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE47
",,,,"HIVD.timeOnArt",1,1,"",""
"HIVD.datesArtRestarted","HIVD.datesArtRestarted","","","",1,1,"","","","string {[]} {[]}
","Date(s) ART restarted","Date(s) client restarted ART after stopping (intentionally interrupting) for any number of reasons (see ""Reason ART stopped"")","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE48
",,,,"HIVD.datesArtRestarted",1,1,"",""
"HIVD.artCohort","HIVD.artCohort","","","",1,1,"","","","string {[]} {[]}
","ART cohort","Month and year client originally started ART (documented) at a health facility in the system. The cohort is a group of patients who started ART in the same month (or quarter) and year, whose status is followed over time, using the ART register.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE49
",,,,"HIVD.artCohort",1,1,"",""
"HIVD.transferInForHivCare","HIVD.transferInForHivCare","","","",1,1,"","","","string {[]} {[]}
","Transfer in for HIV care","Client is transferring in with records or known ART drugs and ART start date","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE50
",,,,"HIVD.transferInForHivCare",1,1,"",""
"HIVD.dateOfTransferIn","HIVD.dateOfTransferIn","","","",1,1,"","","","string {[]} {[]}
","Date of transfer in","Date client presented at facility (with transfer/referral slip) from another facility (and on ART) within the system","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE51
",,,,"HIVD.dateOfTransferIn",1,1,"",""
"HIVD.facilityTransferredFrom","HIVD.facilityTransferredFrom","","","",1,1,"","","","string {[]} {[]}
","Facility transferred from","Name of health facility client was transferred from","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE52
",,,,"HIVD.facilityTransferredFrom",1,1,"",""
"HIVD.dateEnrolledInHivCare","HIVD.dateEnrolledInHivCare","","","",1,1,"","","","string {[]} {[]}
","Date enrolled in HIV care","Date client first enrols in HIV care at the facility. Begins when a person with a confirmed HIV diagnosis presents to a facility where HIV care is provided and a medical record, patient card, file or chart is opened for the first time. This could be at an HIV care/ART, MNCH or TB clinic.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE53
",,,,"HIVD.dateEnrolledInHivCare",1,1,"",""
"HIVD.ageAtEnrolment","HIVD.ageAtEnrolment","","","",1,1,"","","","string {[]} {[]}
","Age at enrolment","Clients age when the client was enrolled in ART care","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE54
",,,,"HIVD.ageAtEnrolment",1,1,"",""
"HIVD.facilityWhereClientFirstEnrolledInHivCare","HIVD.facilityWhereClientFirstEnrolledInHivCare","","","",1,1,"","","","string {[]} {[]}
","Facility where client first enrolled in HIV care","Facility where the client first enrolled in HIV care","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE55
",,,,"HIVD.facilityWhereClientFirstEnrolledInHivCare",1,1,"",""
"HIVD.antiretroviralArvDrugsReceivedPriorToEnrolment","HIVD.antiretroviralArvDrugsReceivedPriorToEnrolment","","","",1,1,"","","","string {[]} {[]}
","Antiretroviral (ARV) drugs received prior to enrolment","Whether or not the client received ARV drugs prior to enrolling into HIV care","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE56
",,,,"HIVD.antiretroviralArvDrugsReceivedPriorToEnrolment",1,1,"",""
"HIVD.noPriorArvs","HIVD.noPriorArvs","","","",1,1,"","","","string {[]} {[]}
","No prior ARVs","Client received no prior ARVs","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE57
",,,,"HIVD.noPriorArvs",1,1,"",""
"HIVD.receivedArvsPriorWithoutRecordsDocumentation","HIVD.receivedArvsPriorWithoutRecordsDocumentation","","","",1,1,"","","","string {[]} {[]}
","Received ARVs prior without records/documentation","Client received ARVs prior without records/documentation","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE58
",,,,"HIVD.receivedArvsPriorWithoutRecordsDocumentation",1,1,"",""
"HIVD.receivedArvsDuringPregnancyOrBreastfeeding","HIVD.receivedArvsDuringPregnancyOrBreastfeeding","","","",1,1,"","","","string {[]} {[]}
","Received ARVs during pregnancy or breastfeeding","Client received ARVs during pregnancy or breastfeeding","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE59
",,,,"HIVD.receivedArvsDuringPregnancyOrBreastfeeding",1,1,"",""
"HIVD.receivedArvsForPepOrPrep","HIVD.receivedArvsForPepOrPrep","","","",1,1,"","","","string {[]} {[]}
","Received ARVs for PEP or PrEP","Client received ARVs for post-exposure prophylaxis (PEP) or PrEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE60
",,,,"HIVD.receivedArvsForPepOrPrep",1,1,"",""
"HIVD.arvProphylaxisForAnHivExposedInfant","HIVD.arvProphylaxisForAnHivExposedInfant","","","",1,1,"","","","string {[]} {[]}
","ARV prophylaxis for an HIV-exposed infant","Client received ARV prophylaxis for an HIV-exposed infant","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE61
",,,,"HIVD.arvProphylaxisForAnHivExposedInfant",1,1,"",""
"HIVD.dateArvDrugsReceivedPriorToEnrolment","HIVD.dateArvDrugsReceivedPriorToEnrolment","","","",1,1,"","","","string {[]} {[]}
","Date ARV drugs received prior to enrolment","Date ARV drugs were started prior to enrolment into HIV care/ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE62
",,,,"HIVD.dateArvDrugsReceivedPriorToEnrolment",1,1,"",""
"HIVD.locationArvDrugsReceivedPriorToEnrolment","HIVD.locationArvDrugsReceivedPriorToEnrolment","","","",1,1,"","","","string {[]} {[]}
","Location ARV drugs received prior to enrolment","Health facility (or other location) where ARV drugs were received prior to enrolment into HIV care/ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE63
",,,,"HIVD.locationArvDrugsReceivedPriorToEnrolment",1,1,"",""
"HIVD.arvDrugRegimenReceivedPriorToEnrolment","HIVD.arvDrugRegimenReceivedPriorToEnrolment","","","",1,1,"","","","string {[]} {[]}
","ARV drug regimen received prior to enrolment","ARV drug regimen received prior to enrolment into HIV care/ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE64
",,,,"HIVD.arvDrugRegimenReceivedPriorToEnrolment",1,1,"",""
"HIVD.existingChronicHealthConditions","HIVD.existingChronicHealthConditions","","","",1,1,"","","","string {[]} {[]}
","Existing chronic health conditions","Does the client have any current chronic health conditions or problems?","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE65
",,,,"HIVD.existingChronicHealthConditions",1,1,"",""
"HIVD.noChronicOrPastHealthConditions","HIVD.noChronicOrPastHealthConditions","","","",1,1,"","","","string {[]} {[]}
","No chronic or past health conditions","Client does not have chronic diseases or any past health conditions","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE66
",,,,"HIVD.noChronicOrPastHealthConditions",1,1,"",""
"HIVD.dontKnow","HIVD.dontKnow","","","",1,1,"","","","string {[]} {[]}
","Dont know","Client does not know whether she has any chronic diseases or past health conditions","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE67
",,,,"HIVD.dontKnow",1,1,"",""
"HIVD.diabetesOtherOrUnspecified","HIVD.diabetesOtherOrUnspecified","","","",1,1,"","","","string {[]} {[]}
","Diabetes other or unspecified","Client has diabetes of other or unspecified type","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE68
",,,,"HIVD.diabetesOtherOrUnspecified",1,1,"",""
"HIVD.diabetesPreExistingType1","HIVD.diabetesPreExistingType1","","","",1,1,"","","","string {[]} {[]}
","Diabetes pre-existing type 1","Client has pre-existing type 1 diabetes mellitus","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE69
",,,,"HIVD.diabetesPreExistingType1",1,1,"",""
"HIVD.diabetesPreExistingType2","HIVD.diabetesPreExistingType2","","","",1,1,"","","","string {[]} {[]}
","Diabetes pre-existing type 2","Client has pre-existing type 2 diabetes mellitus","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE70
",,,,"HIVD.diabetesPreExistingType2",1,1,"",""
"HIVD.hypertension","HIVD.hypertension","","","",1,1,"","","","string {[]} {[]}
","Hypertension","High blood pressure","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE71
",,,,"HIVD.hypertension",1,1,"",""
"HIVD.condOther","HIVD.condOther","","","",1,1,"","","","string {[]} {[]}
","Other","Other health conditions not included in the list","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE72
",,,,"HIVD.condOther",1,1,"",""
"HIVD.condOtherSpecify","HIVD.condOtherSpecify","","","",1,1,"","","","string {[]} {[]}
","Other (specify)","Other health conditions not included in the list (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE73
",,,,"HIVD.condOtherSpecify",1,1,"",""
"HIVD.originalFirstLineArtRegimen","HIVD.originalFirstLineArtRegimen","","","",1,1,"","","","string {[]} {[]}
","Original first-line ART regimen","Original full, first-line ARV drug regimen patient started on at this facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE74
",,,,"HIVD.originalFirstLineArtRegimen",1,1,"",""
"HIVD.currentArtRegimen","HIVD.currentArtRegimen","","","",1,1,"","","","string {[]} {[]}
","Current ART regimen","The current ART regimen the client is taking","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE75
",,,,"HIVD.currentArtRegimen",1,1,"",""
"HIVD.currentArtRegimenStartDate","HIVD.currentArtRegimenStartDate","","","",1,1,"","","","string {[]} {[]}
","Current ART regimen start date","The date on which the client started taking the current ART regimen","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE76
",,,,"HIVD.currentArtRegimenStartDate",1,1,"",""
"HIVD.preferredFirstLineArtRegimen","HIVD.preferredFirstLineArtRegimen","","","",1,1,"","","","string {[]} {[]}
","Preferred first-line ART regimen","The preferred first-line ART regimen for the client according to WHO (or national) guidelines","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE77
",,,,"HIVD.preferredFirstLineArtRegimen",1,1,"",""
"HIVD.alternativeFirstLineArtRegimen","HIVD.alternativeFirstLineArtRegimen","","","",1,1,"","","","string {[]} {[]}
","Alternative first-line ART regimen","The alternative first-line ART regimen for the client according to WHO (or national) guidelines","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE78
",,,,"HIVD.alternativeFirstLineArtRegimen",1,1,"",""
"HIVD.firstLineArtRegimenUnderSpecialCircumstances","HIVD.firstLineArtRegimenUnderSpecialCircumstances","","","",1,1,"","","","string {[]} {[]}
","First-line ART regimen under special circumstances","The first-line ART regimen for the client under special circumstances according to WHO (or national) guidelines","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE79
",,,,"HIVD.firstLineArtRegimenUnderSpecialCircumstances",1,1,"",""
"HIVD.preferredSecondLineArtRegimen","HIVD.preferredSecondLineArtRegimen","","","",1,1,"","","","string {[]} {[]}
","Preferred second-line ART regimen","The preferred second-line ART regimen for the client according to WHO (or national) guidelines","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE80
",,,,"HIVD.preferredSecondLineArtRegimen",1,1,"",""
"HIVD.alternativeSecondLineArtRegimen","HIVD.alternativeSecondLineArtRegimen","","","",1,1,"","","","string {[]} {[]}
","Alternative second-line ART regimen","The alternative second-line ART regimen for the client according to WHO (or national) guidelines","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE81
",,,,"HIVD.alternativeSecondLineArtRegimen",1,1,"",""
