"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVG","HIVG","","","",0,*,"","","","null {[]} {[]}
","HIV.G Diagnostics Logical Model","Logical Model for HIV.G Diagnostics data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVG.viralLoadTestResult","HIVG.viralLoadTestResult","","","",1,1,"","","","string {[]} {[]}
","Viral load test result","Result from the viral load test in number of copies/mL","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE12
",,,,"HIVG.viralLoadTestResult",1,1,"",""
"HIVG.hivViralLoadSpecimenType","HIVG.hivViralLoadSpecimenType","","","",1,1,"","","","string {[]} {[]}
","HIV viral load specimen type","The type of specimen to be used to test viral load","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE13
",,,,"HIVG.hivViralLoadSpecimenType",1,1,"",""
"HIVG.liquidPlasmaSpecimenForViralLoadTesting","HIVG.liquidPlasmaSpecimenForViralLoadTesting","","","",1,1,"","","","string {[]} {[]}
","Liquid plasma specimen for viral load testing","Liquid plasma and using ethylenediaminetetraacetic acid (EDTA) or plasma preparation tubes for viral load test","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE14
",,,,"HIVG.liquidPlasmaSpecimenForViralLoadTesting",1,1,"",""
"HIVG.driedBloodSpotSpecimen","HIVG.driedBloodSpotSpecimen","","","",1,1,"","","","string {[]} {[]}
","Dried blood spot specimen","Dried blood spot specimen (DBS) for viral load test","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE15
",,,,"HIVG.driedBloodSpotSpecimen",1,1,"",""
"HIVG.driedPlasmaSpotFromAPlasmaSeparationCard","HIVG.driedPlasmaSpotFromAPlasmaSeparationCard","","","",1,1,"","","","string {[]} {[]}
","Dried plasma spot from a plasma separation card","Dried plasma spot from a plasma separation card for viral load test","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE16
",,,,"HIVG.driedPlasmaSpotFromAPlasmaSeparationCard",1,1,"",""
"HIVG.hbsagTestDate","HIVG.hbsagTestDate","","","",1,1,"","","","string {[]} {[]}
","HBsAg test date","Date client was tested for hepatitis B virus (HBV)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE17
",,,,"HIVG.hbsagTestDate",1,1,"",""
"HIVG.hbsagTestResult","HIVG.hbsagTestResult","","","",1,1,"","","","string {[]} {[]}
","HBsAg test result","Hepatitis B virus test result (HBsAg)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE18
",,,,"HIVG.hbsagTestResult",1,1,"",""
"HIVG.hbsagPositive","HIVG.hbsagPositive","","","",1,1,"","","","string {[]} {[]}
","Positive","HBsAg test result was positive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE19
",,,,"HIVG.hbsagPositive",1,1,"",""
"HIVG.hbsagNegative","HIVG.hbsagNegative","","","",1,1,"","","","string {[]} {[]}
","Negative","HBsAg test result was negative","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE20
",,,,"HIVG.hbsagNegative",1,1,"",""
"HIVG.hbsagIndeterminate","HIVG.hbsagIndeterminate","","","",1,1,"","","","string {[]} {[]}
","Indeterminate","HBsAg test result was indeterminate","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE21
",,,,"HIVG.hbsagIndeterminate",1,1,"",""
"HIVG.reasonHepatitisBTestNotConducted","HIVG.reasonHepatitisBTestNotConducted","","","",1,1,"","","","string {[]} {[]}
","Reason Hepatitis B test not conducted","Reason why a hepatitis B test was not done","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE22
",,,,"HIVG.reasonHepatitisBTestNotConducted",1,1,"",""
"HIVG.hbTestDelayedToNextContactOrReferred","HIVG.hbTestDelayedToNextContactOrReferred","","","",1,1,"","","","string {[]} {[]}
","Test delayed to next contact or referred","Test has been delayed to the next contact or client was referred to another provider/facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE23
",,,,"HIVG.hbTestDelayedToNextContactOrReferred",1,1,"",""
"HIVG.hbStockOutOrExpired","HIVG.hbStockOutOrExpired","","","",1,1,"","","","string {[]} {[]}
","Stock-out or expired","Test out of stock or stock present but expired","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE24
",,,,"HIVG.hbStockOutOrExpired",1,1,"",""
"HIVG.hbMachineOrTechnicianNAOrNotFunctioning","HIVG.hbMachineOrTechnicianNAOrNotFunctioning","","","",1,1,"","","","string {[]} {[]}
","Machine or technician not available or machine not functioning","Test machine or technician is unavailable, or machine is not functioning","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE25
",,,,"HIVG.hbMachineOrTechnicianNAOrNotFunctioning",1,1,"",""
"HIVG.hbClientDeclinedRefusedTest","HIVG.hbClientDeclinedRefusedTest","","","",1,1,"","","","string {[]} {[]}
","Client declined / refused test","Client declined or refused test being undertaken","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE26
",,,,"HIVG.hbClientDeclinedRefusedTest",1,1,"",""
"HIVG.hbOther","HIVG.hbOther","","","",1,1,"","","","string {[]} {[]}
","Other","Other reason test not performed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE27
",,,,"HIVG.hbOther",1,1,"",""
"HIVG.hbOtherSpecify","HIVG.hbOtherSpecify","","","",1,1,"","","","string {[]} {[]}
","Other (specify)","Other reason test not performed (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE28
",,,,"HIVG.hbOtherSpecify",1,1,"",""
"HIVG.hepatitisBDiagnosis","HIVG.hepatitisBDiagnosis","","","",1,1,"","","","string {[]} {[]}
","Hepatitis B diagnosis","Clients hepatitis B diagnosis","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE29
",,,,"HIVG.hepatitisBDiagnosis",1,1,"",""
"HIVG.hepatitisBPositive","HIVG.hepatitisBPositive","","","",1,1,"","","","string {[]} {[]}
","Hepatitis B positive","Client is positive for Hepatitis B","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE30
",,,,"HIVG.hepatitisBPositive",1,1,"",""
"HIVG.hepatitisBNegative","HIVG.hepatitisBNegative","","","",1,1,"","","","string {[]} {[]}
","Hepatitis B negative","Client is negative for Hepatitis B","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE31
",,,,"HIVG.hepatitisBNegative",1,1,"",""
"HIVG.hepatitisCScreeningDate","HIVG.hepatitisCScreeningDate","","","",1,1,"","","","string {[]} {[]}
","Hepatitis C screening date","Date when client was screened for HCV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE32
",,,,"HIVG.hepatitisCScreeningDate",1,1,"",""
"HIVG.hepatitisCTestOrdered","HIVG.hepatitisCTestOrdered","","","",1,1,"","","","string {[]} {[]}
","Hepatitis C test ordered","Hepatitis C test has been ordered","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE33
",,,,"HIVG.hepatitisCTestOrdered",1,1,"",""
"HIVG.hepatitisCTestConducted","HIVG.hepatitisCTestConducted","","","",1,1,"","","","string {[]} {[]}
","Hepatitis C test conducted","Whether a hepatitis C test was conducted","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE34
",,,,"HIVG.hepatitisCTestConducted",1,1,"",""
"HIVG.reasonHepatitisCTestNotDone","HIVG.reasonHepatitisCTestNotDone","","","",1,1,"","","","string {[]} {[]}
","Reason Hepatitis C test not done","Reason why a hepatitis C test was not done","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE35
",,,,"HIVG.reasonHepatitisCTestNotDone",1,1,"",""
"HIVG.testDelayedToNextContactOrReferred","HIVG.testDelayedToNextContactOrReferred","","","",1,1,"","","","string {[]} {[]}
","Test delayed to next contact or referred","Test has been delayed to the next contact or client was referred to another provider/facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE36
",,,,"HIVG.testDelayedToNextContactOrReferred",1,1,"",""
"HIVG.stockOutOrExpired","HIVG.stockOutOrExpired","","","",1,1,"","","","string {[]} {[]}
","Stock-out or expired","Test out of stock or stock present but expired","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE37
",,,,"HIVG.stockOutOrExpired",1,1,"",""
"HIVG.machineOrTechnicianNotAvailableOrMachineNotFunctioning","HIVG.machineOrTechnicianNotAvailableOrMachineNotFunctioning","","","",1,1,"","","","string {[]} {[]}
","Machine or technician not available or machine not functioning","Test machine or technician is unavailable, or machine is not functioning","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE38
",,,,"HIVG.machineOrTechnicianNotAvailableOrMachineNotFunctioning",1,1,"",""
"HIVG.clientDeclinedRefusedTest","HIVG.clientDeclinedRefusedTest","","","",1,1,"","","","string {[]} {[]}
","Client declined / refused test","Client declined or refused test being undertaken","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE39
",,,,"HIVG.clientDeclinedRefusedTest",1,1,"",""
"HIVG.rnpOther","HIVG.rnpOther","","","",1,1,"","","","string {[]} {[]}
","Other","Other reason test not performed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE40
",,,,"HIVG.rnpOther",1,1,"",""
"HIVG.rnpOtherSpecify","HIVG.rnpOtherSpecify","","","",1,1,"","","","string {[]} {[]}
","Other (specify)","Other reason test not performed (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE41
",,,,"HIVG.rnpOtherSpecify",1,1,"",""
"HIVG.hcvTestDate","HIVG.hcvTestDate","","","",1,1,"","","","string {[]} {[]}
","HCV test date","Date client was tested for hepatitis C virus (HCV antibody, HCV RNA or HCV core antigen)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE42
",,,,"HIVG.hcvTestDate",1,1,"",""
"HIVG.hcvTestResult","HIVG.hcvTestResult","","","",1,1,"","","","string {[]} {[]}
","HCV test result","Hepatitis C virus test result (HCV antibody, HCV RNA or HCV core antigen)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE43
",,,,"HIVG.hcvTestResult",1,1,"",""
"HIVG.hcvPositive","HIVG.hcvPositive","","","",1,1,"","","","string {[]} {[]}
","Positive","HCV test result was positive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE44
",,,,"HIVG.hcvPositive",1,1,"",""
"HIVG.hvcNegative","HIVG.hvcNegative","","","",1,1,"","","","string {[]} {[]}
","Negative","HCV test result was negative","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE45
",,,,"HIVG.hvcNegative",1,1,"",""
"HIVG.hvcIndeterminate","HIVG.hvcIndeterminate","","","",1,1,"","","","string {[]} {[]}
","Indeterminate","HCV test result was indeterminate","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE46
",,,,"HIVG.hvcIndeterminate",1,1,"",""
"HIVG.hcvViralLoadTestDate","HIVG.hcvViralLoadTestDate","","","",1,1,"","","","string {[]} {[]}
","HCV viral load test date","Hepatitis C viral load test date","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE47
",,,,"HIVG.hcvViralLoadTestDate",1,1,"",""
"HIVG.hcvViralLoadTestResult","HIVG.hcvViralLoadTestResult","","","",1,1,"","","","string {[]} {[]}
","HCV viral load test result","Hepatitis C viral load test result (qualitative)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE48
",,,,"HIVG.hcvViralLoadTestResult",1,1,"",""
"HIVG.detected","HIVG.detected","","","",1,1,"","","","string {[]} {[]}
","Detected","HCV was detected","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE49
",,,,"HIVG.detected",1,1,"",""
"HIVG.notDetected","HIVG.notDetected","","","",1,1,"","","","string {[]} {[]}
","Not detected","HCV was not detected","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE50
",,,,"HIVG.notDetected",1,1,"",""
"HIVG.hepatitisCDiagnosis","HIVG.hepatitisCDiagnosis","","","",1,1,"","","","string {[]} {[]}
","Hepatitis C diagnosis","Clients hepatitis C diagnosis","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE51
",,,,"HIVG.hepatitisCDiagnosis",1,1,"",""
"HIVG.hepatitisCPositive","HIVG.hepatitisCPositive","","","",1,1,"","","","string {[]} {[]}
","Hepatitis C positive","Client is positive for hepatitis C","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE52
",,,,"HIVG.hepatitisCPositive",1,1,"",""
"HIVG.hepatitisCNegative","HIVG.hepatitisCNegative","","","",1,1,"","","","string {[]} {[]}
","Hepatitis C negative","Client is negative for hepatitis C","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE53
",,,,"HIVG.hepatitisCNegative",1,1,"",""
"HIVG.syphilisTestRequired","HIVG.syphilisTestRequired","","","",1,1,"","","","string {[]} {[]}
","Syphilis test required","Syphilis test is required","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE54
",,,,"HIVG.syphilisTestRequired",1,1,"",""
"HIVG.syphilisTestType","HIVG.syphilisTestType","","","",1,1,"","","","string {[]} {[]}
","Syphilis test type","Type of diagnostic test used for syphilis (treponema pallidum)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE55
",,,,"HIVG.syphilisTestType",1,1,"",""
"HIVG.treponemal","HIVG.treponemal","","","",1,1,"","","","string {[]} {[]}
","Treponemal","Treponemal test used","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE56
",,,,"HIVG.treponemal",1,1,"",""
"HIVG.nonTreponemal","HIVG.nonTreponemal","","","",1,1,"","","","string {[]} {[]}
","Non-treponemal","Non-treponemal test used","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE57
",,,,"HIVG.nonTreponemal",1,1,"",""
"HIVG.pocTest","HIVG.pocTest","","","",1,1,"","","","string {[]} {[]}
","POC Test","Point-of-care (POC) test used","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE58
",,,,"HIVG.pocTest",1,1,"",""
"HIVG.sypttNaat","HIVG.sypttNaat","","","",1,1,"","","","string {[]} {[]}
","NAAT","Nucleic Acid Amplification Test (NAAT) used","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE59
",,,,"HIVG.sypttNaat",1,1,"",""
"HIVG.sypttOther","HIVG.sypttOther","","","",1,1,"","","","string {[]} {[]}
","Other","Other test used","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE60
",,,,"HIVG.sypttOther",1,1,"",""
"HIVG.otherSyphilisTestTypeSpecify","HIVG.otherSyphilisTestTypeSpecify","","","",1,1,"","","","string {[]} {[]}
","Other syphilis test type (specify)","Other test used (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE61
",,,,"HIVG.otherSyphilisTestTypeSpecify",1,1,"",""
"HIVG.reasonSyphilisTestNotDone","HIVG.reasonSyphilisTestNotDone","","","",1,1,"","","","string {[]} {[]}
","Reason syphilis test not done","Reason why a syphilis test was not done","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE62
",,,,"HIVG.reasonSyphilisTestNotDone",1,1,"",""
"HIVG.testDelayedToNextContactOrReferred2","HIVG.testDelayedToNextContactOrReferred2","","","",1,1,"","","","string {[]} {[]}
","Test delayed to next contact or referred","Test has been delayed to the next contact or client was referred to another provider/facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE63
",,,,"HIVG.testDelayedToNextContactOrReferred2",1,1,"",""
"HIVG.stockOutOrExpired2","HIVG.stockOutOrExpired2","","","",1,1,"","","","string {[]} {[]}
","Stock-out or expired","Test out of stock or stock present but expired","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE64
",,,,"HIVG.stockOutOrExpired2",1,1,"",""
"HIVG.machineOrTechnicianNotAvailableOrMachineNotFunctioning2","HIVG.machineOrTechnicianNotAvailableOrMachineNotFunctioning2","","","",1,1,"","","","string {[]} {[]}
","Machine or technician not available or machine not functioning","Test machine or technician is unavailable, or machine is not functioning","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE65
",,,,"HIVG.machineOrTechnicianNotAvailableOrMachineNotFunctioning2",1,1,"",""
"HIVG.clientDeclinedRefusedTest2","HIVG.clientDeclinedRefusedTest2","","","",1,1,"","","","string {[]} {[]}
","Client declined / refused test","Client declined or refused test being undertaken","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE66
",,,,"HIVG.clientDeclinedRefusedTest2",1,1,"",""
"HIVG.nptOther","HIVG.nptOther","","","",1,1,"","","","string {[]} {[]}
","Other","Other reason test not performed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE67
",,,,"HIVG.nptOther",1,1,"",""
"HIVG.nptOtherSpecify","HIVG.nptOtherSpecify","","","",1,1,"","","","string {[]} {[]}
","Other (specify)","Other reason test not performed (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE68
",,,,"HIVG.nptOtherSpecify",1,1,"",""
"HIVG.syphilisTestDate","HIVG.syphilisTestDate","","","",1,1,"","","","string {[]} {[]}
","Syphilis test date","Date of syphilis test","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE69
",,,,"HIVG.syphilisTestDate",1,1,"",""
"HIVG.syphilisTestResult","HIVG.syphilisTestResult","","","",1,1,"","","","string {[]} {[]}
","Syphilis test result","Result from syphilis test","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE70
",,,,"HIVG.syphilisTestResult",1,1,"",""
"HIVG.syptPositive","HIVG.syptPositive","","","",1,1,"","","","string {[]} {[]}
","Positive","Test result is positive for syphilis","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE71
",,,,"HIVG.syptPositive",1,1,"",""
"HIVG.syptNegative","HIVG.syptNegative","","","",1,1,"","","","string {[]} {[]}
","Negative","Test result is negative for syphilis","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE72
",,,,"HIVG.syptNegative",1,1,"",""
"HIVG.syptInconclusive","HIVG.syptInconclusive","","","",1,1,"","","","string {[]} {[]}
","Inconclusive","Test result is inconclusive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE73
",,,,"HIVG.syptInconclusive",1,1,"",""
"HIVG.syphilisDiagnosis","HIVG.syphilisDiagnosis","","","",1,1,"","","","string {[]} {[]}
","Syphilis diagnosis","Clients syphilis diagnosis","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE74
",,,,"HIVG.syphilisDiagnosis",1,1,"",""
"HIVG.syphilisPositive","HIVG.syphilisPositive","","","",1,1,"","","","string {[]} {[]}
","Syphilis positive","Client is positive for syphilis","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE75
",,,,"HIVG.syphilisPositive",1,1,"",""
"HIVG.syphilisNegative","HIVG.syphilisNegative","","","",1,1,"","","","string {[]} {[]}
","Syphilis negative","Client is negative for syphilis","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE76
",,,,"HIVG.syphilisNegative",1,1,"",""
"HIVG.otherTestsConducted","HIVG.otherTestsConducted","","","",1,1,"","","","string {[]} {[]}
","Other tests conducted","If the health worker performed other tests on the woman that are not explicitly listed in the application, select ""yes"" here and fill in the details below.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE77
",,,,"HIVG.otherTestsConducted",1,1,"",""
"HIVG.otherTestSName","HIVG.otherTestSName","","","",1,1,"","","","string {[]} {[]}
","Other test(s) name","Input the name of other test(s) that were done.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE78
",,,,"HIVG.otherTestSName",1,1,"",""
"HIVG.otherTestSDate","HIVG.otherTestSDate","","","",1,1,"","","","string {[]} {[]}
","Other test(s) date","Input the date of other test(s) that were done.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE79
",,,,"HIVG.otherTestSDate",1,1,"",""
"HIVG.otherTestSResultS","HIVG.otherTestSResultS","","","",1,1,"","","","string {[]} {[]}
","Other test(s) result(s)","Input the result from the test(s).","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE80
",,,,"HIVG.otherTestSResultS",1,1,"",""
