"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVC","HIVC","","","",0,*,"","","","null {[]} {[]}
","HIV.C PrEP visit Logical Model","Logical Model for HIV.C PrEP visit data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVC.cabLa","HIVC.cabLa","","","",1,1,"","","","string {[]} {[]}
","CAB-LA","Long-acting injectable cabotegravir","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE23
",,,,"HIVC.cabLa",1,1,"",""
"HIVC.experienceWithPrep","HIVC.experienceWithPrep","","","",1,1,"","","","string {[]} {[]}
","Experience with PrEP","The clients experience in taking PrEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE24
",,,,"HIVC.experienceWithPrep",1,1,"",""
"HIVC.prepFirstTimeUser","HIVC.prepFirstTimeUser","","","",1,1,"","","","string {[]} {[]}
","First-time user","The client has never used pre-exposure prophylaxis (PrEP) before (naive)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE25
",,,,"HIVC.prepFirstTimeUser",1,1,"",""
"HIVC.prepContinuingUser","HIVC.prepContinuingUser","","","",1,1,"","","","string {[]} {[]}
","Continuing user","The client has used PrEP before and is continuing to use PrEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE26
",,,,"HIVC.prepContinuingUser",1,1,"",""
"HIVC.restartingFollowingAPeriodOfNotTakingPrep","HIVC.restartingFollowingAPeriodOfNotTakingPrep","","","",1,1,"","","","string {[]} {[]}
","Restarting following a period of not taking PrEP","The client is restarting PrEP following a period of not taking PrEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE27
",,,,"HIVC.restartingFollowingAPeriodOfNotTakingPrep",1,1,"",""
"HIVC.prepStartDate","HIVC.prepStartDate","","","",1,1,"","","","string {[]} {[]}
","PrEP start date","The date on which the client started or restarted pre-exposure prophylaxis (PrEP)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE28
",,,,"HIVC.prepStartDate",1,1,"",""
"HIVC.stoppedPrep","HIVC.stoppedPrep","","","",1,1,"","","","string {[]} {[]}
","Stopped PrEP","Client stopped taking pre-exposure prophylaxis (PrEP)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE29
",,,,"HIVC.stoppedPrep",1,1,"",""
"HIVC.datePrepStopped","HIVC.datePrepStopped","","","",1,1,"","","","string {[]} {[]}
","Date PrEP stopped","Date client stopped taking pre-exposure prophylaxis (PrEP)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE30
",,,,"HIVC.datePrepStopped",1,1,"",""
"HIVC.pepHistory","HIVC.pepHistory","","","",1,1,"","","","string {[]} {[]}
","PEP history","The clients history in taking post-exposure prophylaxis (PEP) for HIV prevention","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE31
",,,,"HIVC.pepHistory",1,1,"",""
"HIVC.pepFirstTimeUser","HIVC.pepFirstTimeUser","","","",1,1,"","","","string {[]} {[]}
","First-time user","The client has never used post-exposure prophylaxis (PEP) before","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE32
",,,,"HIVC.pepFirstTimeUser",1,1,"",""
"HIVC.pepRepeatUser","HIVC.pepRepeatUser","","","",1,1,"","","","string {[]} {[]}
","Repeat user","The client has used post-exposure prophylaxis (PEP) before","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE33
",,,,"HIVC.pepRepeatUser",1,1,"",""
"HIVC.datesOfPastPepUse","HIVC.datesOfPastPepUse","","","",1,1,"","","","string {[]} {[]}
","Date(s) of past PEP use","Dates when the client previously used post-exposure prophylaxis (PEP)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE34
",,,,"HIVC.datesOfPastPepUse",1,1,"",""
"HIVC.dateClientCompletesPepCourse","HIVC.dateClientCompletesPepCourse","","","",1,1,"","","","string {[]} {[]}
","Date client completes PEP course","Date client completes PEP course","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE35
",,,,"HIVC.dateClientCompletesPepCourse",1,1,"",""
"HIVC.signsOfSubstantialRiskOfHivInfection","HIVC.signsOfSubstantialRiskOfHivInfection","","","",1,1,"","","","string {[]} {[]}
","Signs of substantial risk of HIV infection","Signs the client is at a substantial risk of HIV infection","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE36
",,,,"HIVC.signsOfSubstantialRiskOfHivInfection",1,1,"",""
"HIVC.noCondomUseDuringSexWithMoreThanOnePartnerInThePast6Months","HIVC.noCondomUseDuringSexWithMoreThanOnePartnerInThePast6Months","","","",1,1,"","","","string {[]} {[]}
","No condom use during sex with more than one partner in the past 6 months","Recent vaginal or anal sexual intercourse without a condom with more than one partner","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE37
",,,,"HIVC.noCondomUseDuringSexWithMoreThanOnePartnerInThePast6Months",1,1,"",""
"HIVC.stiInThePast6Months","HIVC.stiInThePast6Months","","","",1,1,"","","","string {[]} {[]}
","STI in the past 6 months","A recent history (in the last 6 months) of a sexually transmitted infection (STI ) by laboratory testing, self-report or syndromic STI treatment","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE38
",,,,"HIVC.stiInThePast6Months",1,1,"",""
"HIVC.aSexualPartnerInThePast6MonthsHadHivRF","HIVC.aSexualPartnerInThePast6MonthsHadHivRF","","","",1,1,"","","","string {[]} {[]}
","A sexual partner in the past 6 months had one or more HIV risk factors","A recent sex partner of the client had HIV risk factors","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE39
",,,,"HIVC.aSexualPartnerInThePast6MonthsHadHivRF",1,1,"",""
"HIVC.prepRequestedByClient","HIVC.prepRequestedByClient","","","",1,1,"","","","string {[]} {[]}
","PrEP requested by client","Client is requesting PrEP, reflecting a decision-making process has already taken place and suggesting of substantial risk of HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE40
",,,,"HIVC.prepRequestedByClient",1,1,"",""
"HIVC.pregnancyIntentionInSerodiscordantPartnerships","HIVC.pregnancyIntentionInSerodiscordantPartnerships","","","",1,1,"","","","string {[]} {[]}
","Pregnancy intention in serodiscordant partnerships","Clients intention or desire in the next year to either become pregnant or prevent a future pregnancy (in serodiscordant partnerships)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE41
",,,,"HIVC.pregnancyIntentionInSerodiscordantPartnerships",1,1,"",""
"HIVC.yesIWantToBecomePregnant","HIVC.yesIWantToBecomePregnant","","","",1,1,"","","","string {[]} {[]}
","Yes, I want to become pregnant","Client intends to become pregnant","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE42
",,,,"HIVC.yesIWantToBecomePregnant",1,1,"",""
"HIVC.imOkEitherWay","HIVC.imOkEitherWay","","","",1,1,"","","","string {[]} {[]}
","Im OK either way","Client is not intending to become pregnant, but would not be adverse to becoming pregnant","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE43
",,,,"HIVC.imOkEitherWay",1,1,"",""
"HIVC.noIDontWantToBecomePregnant","HIVC.noIDontWantToBecomePregnant","","","",1,1,"","","","string {[]} {[]}
","No, I dont want to become pregnant","Client does not intend to become pregnant","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE44
",,,,"HIVC.noIDontWantToBecomePregnant",1,1,"",""
"HIVC.unsure","HIVC.unsure","","","",1,1,"","","","string {[]} {[]}
","Unsure","Client is unsure or undecided about her pregnancy intentions","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE45
",,,,"HIVC.unsure",1,1,"",""
"HIVC.acuteHivInfectionSymptoms","HIVC.acuteHivInfectionSymptoms","","","",1,1,"","","","string {[]} {[]}
","Acute HIV infection symptoms","Symptoms that could suggest an acute HIV infection","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE46
",,,,"HIVC.acuteHivInfectionSymptoms",1,1,"",""
"HIVC.fever","HIVC.fever","","","",1,1,"","","","string {[]} {[]}
","Fever","Clients symptoms include a fever","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE47
",,,,"HIVC.fever",1,1,"",""
"HIVC.soreThroat","HIVC.soreThroat","","","",1,1,"","","","string {[]} {[]}
","Sore throat","Clients symptoms include a sore throat","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE48
",,,,"HIVC.soreThroat",1,1,"",""
"HIVC.aches","HIVC.aches","","","",1,1,"","","","string {[]} {[]}
","Aches","Clients symptoms include aches","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE49
",,,,"HIVC.aches",1,1,"",""
"HIVC.pains","HIVC.pains","","","",1,1,"","","","string {[]} {[]}
","Pains","Clients symptoms include pains","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE50
",,,,"HIVC.pains",1,1,"",""
"HIVC.swollenGlands","HIVC.swollenGlands","","","",1,1,"","","","string {[]} {[]}
","Swollen glands","Clients symptoms include swollen glands","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE51
",,,,"HIVC.swollenGlands",1,1,"",""
"HIVC.mouthSores","HIVC.mouthSores","","","",1,1,"","","","string {[]} {[]}
","Mouth sores","Clients symptoms include a mouth sores","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE52
",,,,"HIVC.mouthSores",1,1,"",""
"HIVC.headaches","HIVC.headaches","","","",1,1,"","","","string {[]} {[]}
","Headaches","Clients symptoms include a headaches","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE53
",,,,"HIVC.headaches",1,1,"",""
"HIVC.rash","HIVC.rash","","","",1,1,"","","","string {[]} {[]}
","Rash","Clients symptoms include a rash","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE54
",,,,"HIVC.rash",1,1,"",""
"HIVC.sexPartnersHivTreatmentStatus","HIVC.sexPartnersHivTreatmentStatus","","","",1,1,"","","","string {[]} {[]}
","Sex partners HIV treatment status","Treatment adherence of clients sex partner for partners that are HIV-positive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE55
",,,,"HIVC.sexPartnersHivTreatmentStatus",1,1,"",""
"HIVC.notOnArt","HIVC.notOnArt","","","",1,1,"","","","string {[]} {[]}
","Not on ART","Sex partner is HIV-positive and not on ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE56
",,,,"HIVC.notOnArt",1,1,"",""
"HIVC.onArtLessThan6Months","HIVC.onArtLessThan6Months","","","",1,1,"","","","string {[]} {[]}
","On ART less than 6 months","Sex partner is HIV-positive and is on ART less than 6 months. ART may take up to 6 months to suppress viral load. In studies of serodiscordant couples, pre-exposure prophylaxis (PrEP) has provided a useful bridge to full viral suppression by the partner during that time.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE57
",,,,"HIVC.onArtLessThan6Months",1,1,"",""
"HIVC.partnerHasSuspectedLowAdherenceToArt","HIVC.partnerHasSuspectedLowAdherenceToArt","","","",1,1,"","","","string {[]} {[]}
","Partner has suspected low adherence to ART","Sex partner is HIV-positive and is suspected to have low adherence to ART. There have been gaps in the partners treatment adherence or the couple is not communicating openly about treatment adherence and viral load test results.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE58
",,,,"HIVC.partnerHasSuspectedLowAdherenceToArt",1,1,"",""
"HIVC.partnerIsNotVirallySuppressed","HIVC.partnerIsNotVirallySuppressed","","","",1,1,"","","","string {[]} {[]}
","Partner is not virally suppressed","Sex partner is HIV-positive and not virally suppressed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE59
",,,,"HIVC.partnerIsNotVirallySuppressed",1,1,"",""
"HIVC.partnerIsVirallyS6plus","HIVC.partnerIsVirallyS6plus","","","",1,1,"","","","string {[]} {[]}
","Partner is virally suppressed and has been on ART for 6 months or more","Sex partner is HIV-positive and virally suppressed with 6 months or more on ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE60
",,,,"HIVC.partnerIsVirallyS6plus",1,1,"",""
"HIVC.suitableForPrep","HIVC.suitableForPrep","","","",1,1,"","","","string {[]} {[]}
","Suitable for PrEP","The client is suitable for PrEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE61
",,,,"HIVC.suitableForPrep",1,1,"",""
"HIVC.offeredPrep","HIVC.offeredPrep","","","",1,1,"","","","string {[]} {[]}
","Offered PrEP","After being evaluated as suitable for PrEP, the client was offered PrEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE62
",,,,"HIVC.offeredPrep",1,1,"",""
"HIVC.screeningsAndDiagnosticsForPrepUsers","HIVC.screeningsAndDiagnosticsForPrepUsers","","","",1,1,"","","","string {[]} {[]}
","Screenings and diagnostics for PrEP users","Listing of tests for clients on or starting pre-exposure prophylaxis (PrEP) that may be recommended or should be considered","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE63
",,,,"HIVC.screeningsAndDiagnosticsForPrepUsers",1,1,"",""
"HIVC.serumCreatinineTest","HIVC.serumCreatinineTest","","","",1,1,"","","","string {[]} {[]}
","Serum creatinine test","Test serum creatinine to identify pre-existing renal disease (estimated creatinine clearance less than 60 ml/min)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE64
",,,,"HIVC.serumCreatinineTest",1,1,"",""
"HIVC.hepatitisBTest","HIVC.hepatitisBTest","","","",1,1,"","","","string {[]} {[]}
","Hepatitis B test","Hepatitis B test recommended for client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE65
",,,,"HIVC.hepatitisBTest",1,1,"",""
"HIVC.hepatitisCTest","HIVC.hepatitisCTest","","","",1,1,"","","","string {[]} {[]}
","Hepatitis C test","Hepatitis C test recommended for client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE66
",,,,"HIVC.hepatitisCTest",1,1,"",""
"HIVC.syphilisTest","HIVC.syphilisTest","","","",1,1,"","","","string {[]} {[]}
","Syphilis test","Syphilis test recommended for client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE67
",,,,"HIVC.syphilisTest",1,1,"",""
"HIVC.otherScreeningForStis","HIVC.otherScreeningForStis","","","",1,1,"","","","string {[]} {[]}
","Other screening for STIs","Other STI screening recommended for client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE68
",,,,"HIVC.otherScreeningForStis",1,1,"",""
"HIVC.pregnancyTesting","HIVC.pregnancyTesting","","","",1,1,"","","","string {[]} {[]}
","Pregnancy testing","Pregnancy testing for client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE69
",,,,"HIVC.pregnancyTesting",1,1,"",""
"HIVC.reviewVaccinationHistory","HIVC.reviewVaccinationHistory","","","",1,1,"","","","string {[]} {[]}
","Review vaccination history","Review vaccination history recommended for client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE70
",,,,"HIVC.reviewVaccinationHistory",1,1,"",""
"HIVC.serumCreatinineTestDate","HIVC.serumCreatinineTestDate","","","",1,1,"","","","string {[]} {[]}
","Serum creatinine test date","Test serum creatinine to identify pre-existing renal disease (estimated creatinine clearance less than 60 ml/min)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE71
",,,,"HIVC.serumCreatinineTestDate",1,1,"",""
"HIVC.serumCreatinineTestResult","HIVC.serumCreatinineTestResult","","","",1,1,"","","","string {[]} {[]}
","Serum creatinine test result","Test serum creatinine to identify pre-existing renal disease (estimated creatinine clearance less than 60 ml/min).","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE72
",,,,"HIVC.serumCreatinineTestResult",1,1,"",""
"HIVC.dateMedicationsDispensed","HIVC.dateMedicationsDispensed","","","",1,1,"","","","string {[]} {[]}
","Date medications dispensed","Date the client was dispensed medications","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE73
",,,,"HIVC.dateMedicationsDispensed",1,1,"",""
"HIVC.dateMedicationsPrescribed","HIVC.dateMedicationsPrescribed","","","",1,1,"","","","string {[]} {[]}
","Date medications prescribed","Date the client was prescribed medications","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE74
",,,,"HIVC.dateMedicationsPrescribed",1,1,"",""
"HIVC.medicationsPrescribed","HIVC.medicationsPrescribed","","","",1,1,"","","","string {[]} {[]}
","Medications prescribed","Medications the client was prescribed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE75
",,,,"HIVC.medicationsPrescribed",1,1,"",""
