"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVH","HIVH","","","",0,*,"","","","null {[]} {[]}
","HIV.H Follow-up Logical Model","Logical Model for HIV.H Follow-up data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVH.hospitalized","HIVH.hospitalized","","","",1,1,"","","","string {[]} {[]}
","Hospitalized","Client was hospitalized","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE26
",,,,"HIVH.hospitalized",1,1,"",""
"HIVH.refusedToReturn","HIVH.refusedToReturn","","","",1,1,"","","","string {[]} {[]}
","Refused to return","Client was found but declined to return to treatment","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE27
",,,,"HIVH.refusedToReturn",1,1,"",""
"HIVH.notLocated","HIVH.notLocated","","","",1,1,"","","","string {[]} {[]}
","Not located ","Attempt was made to locate client, but client was not found","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE28
",,,,"HIVH.notLocated",1,1,"",""
"HIVH.diedReported","HIVH.diedReported","","","",1,1,"","","","string {[]} {[]}
","Died (reported)","The client was reported as having died","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE29
",,,,"HIVH.diedReported",1,1,"",""
"HIVH.movedFromCatchmentArea","HIVH.movedFromCatchmentArea","","","",1,1,"","","","string {[]} {[]}
","Moved from catchment area","The client moved from the catchment area (may be reported from the community level)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE30
",,,,"HIVH.movedFromCatchmentArea",1,1,"",""
"HIVH.dateClientMovedFromCatchmentArea","HIVH.dateClientMovedFromCatchmentArea","","","",1,1,"","","","string {[]} {[]}
","Date client moved from catchment area","The date on which the client moved from the catchment area, if known","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE31
",,,,"HIVH.dateClientMovedFromCatchmentArea",1,1,"",""
"HIVH.newCatchmentArea","HIVH.newCatchmentArea","","","",1,1,"","","","string {[]} {[]}
","New catchment area","New catchment area where the client resides","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE32
",,,,"HIVH.newCatchmentArea",1,1,"",""
"HIVH.partnerOrContactOfIndexCase","HIVH.partnerOrContactOfIndexCase","","","",1,1,"","","","string {[]} {[]}
","Partner or contact of index case","The client was identified by an index case as a partner or contact","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE33
",,,,"HIVH.partnerOrContactOfIndexCase",1,1,"",""
"HIVH.hivStatusOfPartnerOrContact","HIVH.hivStatusOfPartnerOrContact","","","",1,1,"","","","string {[]} {[]}
","HIV status of partner or contact","HIV status of the partner or contact given by the index case","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE34
",,,,"HIVH.hivStatusOfPartnerOrContact",1,1,"",""
"HIVH.alreadyKnewPositive","HIVH.alreadyKnewPositive","","","",1,1,"","","","string {[]} {[]}
","Already knew positive","The partner or contact of the index case already knew they are HIV-positive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE35
",,,,"HIVH.alreadyKnewPositive",1,1,"",""
"HIVH.newlyDiagnosed","HIVH.newlyDiagnosed","","","",1,1,"","","","string {[]} {[]}
","Newly diagnosed","The partner or contact of the index case is newly diagnosed as HIV-positive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE36
",,,,"HIVH.newlyDiagnosed",1,1,"",""
"HIVH.negative","HIVH.negative","","","",1,1,"","","","string {[]} {[]}
","Negative","The partner or contact of the index case is newly diagnosed is HIV-negative","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE37
",,,,"HIVH.negative",1,1,"",""
"HIVH.dateOfDeath","HIVH.dateOfDeath","","","",1,1,"","","","string {[]} {[]}
","Date of death ","If deceased, the date that the client died","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE38
",,,,"HIVH.dateOfDeath",1,1,"",""
"HIVH.causeOfDeath","HIVH.causeOfDeath","","","",1,1,"","","","string {[]} {[]}
","Cause of death","Cause of death, if known","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE39
",,,,"HIVH.causeOfDeath",1,1,"",""
"HIVH.placeOfDeath","HIVH.placeOfDeath","","","",1,1,"","","","string {[]} {[]}
","Place of death","Where the client died, if known","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE40
",,,,"HIVH.placeOfDeath",1,1,"",""
"HIVH.hivTreatmentOutcome","HIVH.hivTreatmentOutcome","","","",1,1,"","","","string {[]} {[]}
","HIV treatment outcome","The outcome for the client which is used for reporting retention/attrition.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE41
",,,,"HIVH.hivTreatmentOutcome",1,1,"",""
"HIVH.lostToFollowUp","HIVH.lostToFollowUp","","","",1,1,"","","","string {[]} {[]}
","Lost to follow-up","Twenty-eight days or more since last missed appointment","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE42
",,,,"HIVH.lostToFollowUp",1,1,"",""
"HIVH.transferredOut","HIVH.transferredOut","","","",1,1,"","","","string {[]} {[]}
","Transferred out","The client transferred to another facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE43
",,,,"HIVH.transferredOut",1,1,"",""
"HIVH.deathDocumented","HIVH.deathDocumented","","","",1,1,"","","","string {[]} {[]}
","Death (documented)","People living with HIV previously on ART who are confirmed to have died from any cause","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE44
",,,,"HIVH.deathDocumented",1,1,"",""
"HIVH.refusedStoppedTreatment","HIVH.refusedStoppedTreatment","","","",1,1,"","","","string {[]} {[]}
","Refused (stopped) treatment","Client was contacted and confirmed to have stopped ART (reasons may include stigma and discrimination, faith healing, etc.)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE45
",,,,"HIVH.refusedStoppedTreatment",1,1,"",""
"HIVH.datePatientLostToFollowUp","HIVH.datePatientLostToFollowUp","","","",1,1,"","","","string {[]} {[]}
","Date patient lost to follow-up","Date patient was lost to follow-up (LTFU)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE46
",,,,"HIVH.datePatientLostToFollowUp",1,1,"",""
"HIVH.onArt","HIVH.onArt","","","",1,1,"","","","string {[]} {[]}
","On ART","Client is currently taking ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE47
",,,,"HIVH.onArt",1,1,"",""
"HIVH.dateHivTreatmentOutcomeChanged","HIVH.dateHivTreatmentOutcomeChanged","","","",1,1,"","","","string {[]} {[]}
","Date HIV treatment outcome changed","The date on which the clients outcome (lost to follow-up, transferred out, death (documented), or refused (stopped) treatment) changed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE48
",,,,"HIVH.dateHivTreatmentOutcomeChanged",1,1,"",""
"HIVH.transferConfirmed","HIVH.transferConfirmed","","","",1,1,"","","","string {[]} {[]}
","Transfer confirmed","Select if transfer to another facility is confirmed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE49
",,,,"HIVH.transferConfirmed",1,1,"",""
"HIVH.transferToFacility","HIVH.transferToFacility","","","",1,1,"","","","string {[]} {[]}
","Transfer to facility","Name of health facility client was transferred to","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE50
",,,,"HIVH.transferToFacility",1,1,"",""
"HIVH.dateOfTransferOut","HIVH.dateOfTransferOut","","","",1,1,"","","","string {[]} {[]}
","Date of transfer out","The date the client transferred out of the facility to be provided with care at another facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE51
",,,,"HIVH.dateOfTransferOut",1,1,"",""
"HIVH.adherenceAssessment","HIVH.adherenceAssessment","","","",1,1,"","","","string {[]} {[]}
","Adherence assessment","Whether client is adherent or not to ART regimen per national guidelines (immunological or virological monitoring)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE52
",,,,"HIVH.adherenceAssessment",1,1,"",""
"HIVH.reasonsForAdherenceProblem","HIVH.reasonsForAdherenceProblem","","","",1,1,"","","","string {[]} {[]}
","Reason(s) for adherence problem","Reason why client is not adherent","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE53
",,,,"HIVH.reasonsForAdherenceProblem",1,1,"",""
"HIVH.forgot","HIVH.forgot","","","",1,1,"","","","string {[]} {[]}
","Forgot","Client reported not being adherent because they forgot","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE54
",,,,"HIVH.forgot",1,1,"",""
"HIVH.toxicitysideEffects2","HIVH.toxicitysideEffects2","","","",1,1,"","","","string {[]} {[]}
","Toxicity/side effects","Client reported not being adherent because of toxicity/side effects","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE55
",,,,"HIVH.toxicitysideEffects2",1,1,"",""
"HIVH.busy","HIVH.busy","","","",1,1,"","","","string {[]} {[]}
","Busy","Client reported not being adherent because they were busy","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE56
",,,,"HIVH.busy",1,1,"",""
"HIVH.changeOfRoutine","HIVH.changeOfRoutine","","","",1,1,"","","","string {[]} {[]}
","Change of routine","Client reported not being adherent because of a change of routine","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE57
",,,,"HIVH.changeOfRoutine",1,1,"",""
"HIVH.travelCost","HIVH.travelCost","","","",1,1,"","","","string {[]} {[]}
","Travel cost","Client reported not being adherent because of travel cost","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE58
",,,,"HIVH.travelCost",1,1,"",""
"HIVH.distanceToClinic","HIVH.distanceToClinic","","","",1,1,"","","","string {[]} {[]}
","Distance to clinic","Client reported not being adherent because of distance to clinic","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE59
",,,,"HIVH.distanceToClinic",1,1,"",""
"HIVH.clientLostRanOutOfPills","HIVH.clientLostRanOutOfPills","","","",1,1,"","","","string {[]} {[]}
","Client lost/ran out of pills","Client reported not being adherent because of client lost/ran out of pills","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE60
",,,,"HIVH.clientLostRanOutOfPills",1,1,"",""
"HIVH.stockOut","HIVH.stockOut","","","",1,1,"","","","string {[]} {[]}
","Stock-out","Client reported not being adherent because of a stock-out","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE61
",,,,"HIVH.stockOut",1,1,"",""
"HIVH.tooIll","HIVH.tooIll","","","",1,1,"","","","string {[]} {[]}
","Too ill","Client reported not being adherent because of being too ill","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE62
",,,,"HIVH.tooIll",1,1,"",""
"HIVH.pillBurden","HIVH.pillBurden","","","",1,1,"","","","string {[]} {[]}
","Pill burden","Client reported not being adherent because of the pill burden","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE63
",,,,"HIVH.pillBurden",1,1,"",""
"HIVH.feltWell","HIVH.feltWell","","","",1,1,"","","","string {[]} {[]}
","Felt well","Client reported not being adherent because they felt well","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE64
",,,,"HIVH.feltWell",1,1,"",""
"HIVH.depression","HIVH.depression","","","",1,1,"","","","string {[]} {[]}
","Depression","Client reported not being adherent because of depression","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE65
",,,,"HIVH.depression",1,1,"",""
"HIVH.alcoholUse","HIVH.alcoholUse","","","",1,1,"","","","string {[]} {[]}
","Alcohol use","Client reported not being adherent because of alcohol use","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE66
",,,,"HIVH.alcoholUse",1,1,"",""
"HIVH.substanceUse","HIVH.substanceUse","","","",1,1,"","","","string {[]} {[]}
","Substance use","Client reported not being adherent because of substance use (i.e., drugs)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE67
",,,,"HIVH.substanceUse",1,1,"",""
"HIVH.stigmadisclosureConcerns","HIVH.stigmadisclosureConcerns","","","",1,1,"","","","string {[]} {[]}
","Stigma/disclosure concerns","Client reported not being adherent because of stigma/disclosure concerns","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE68
",,,,"HIVH.stigmadisclosureConcerns",1,1,"",""
"HIVH.lackOfFood","HIVH.lackOfFood","","","",1,1,"","","","string {[]} {[]}
","Lack of food","Client reported not being adherent because of a lack of food","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE69
",,,,"HIVH.lackOfFood",1,1,"",""
"HIVH.poorPalatability","HIVH.poorPalatability","","","",1,1,"","","","string {[]} {[]}
","Poor palatability","Client reported not being adherent because of poor palatability","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE70
",,,,"HIVH.poorPalatability",1,1,"",""
"HIVH.adhrOther","HIVH.adhrOther","","","",1,1,"","","","string {[]} {[]}
","Other","Client reported not being adherent because of other reason","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE71
",,,,"HIVH.adhrOther",1,1,"",""
"HIVH.adhrOtherSpecify","HIVH.adhrOtherSpecify","","","",1,1,"","","","string {[]} {[]}
","Other (specify)","Client reported not being adherent because of other reason (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE72
",,,,"HIVH.adhrOtherSpecify",1,1,"",""
"HIVH.dateArtStopped","HIVH.dateArtStopped","","","",1,1,"","","","string {[]} {[]}
","Date ART stopped","Date on which client stopped ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE73
",,,,"HIVH.dateArtStopped",1,1,"",""
"HIVH.reasonArtStopped","HIVH.reasonArtStopped","","","",1,1,"","","","string {[]} {[]}
","Reason ART stopped","Reason why client intentionally stopped ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE74
",,,,"HIVH.reasonArtStopped",1,1,"",""
"HIVH.toxicitysideEffects","HIVH.toxicitysideEffects","","","",1,1,"","","","string {[]} {[]}
","Toxicity/side effects","Client stopped ART because of toxicity/side effects","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE75
",,,,"HIVH.toxicitysideEffects",1,1,"",""
"HIVH.severeIllnessHospitalization","HIVH.severeIllnessHospitalization","","","",1,1,"","","","string {[]} {[]}
","Severe illness, hospitalization","Client stopped ART because of severe illness, hospitalization","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE76
",,,,"HIVH.severeIllnessHospitalization",1,1,"",""
"HIVH.drugsOutOfStock","HIVH.drugsOutOfStock","","","",1,1,"","","","string {[]} {[]}
","Drugs out of stock ","Client stopped ART because of drugs being out of stock","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE77
",,,,"HIVH.drugsOutOfStock",1,1,"",""
"HIVH.clientLacksFinances","HIVH.clientLacksFinances","","","",1,1,"","","","string {[]} {[]}
","Client lacks finances ","Client stopped ART because client lacked finances","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE78
",,,,"HIVH.clientLacksFinances",1,1,"",""
"HIVH.excludedHivInfectionInInfant","HIVH.excludedHivInfectionInInfant","","","",1,1,"","","","string {[]} {[]}
","Excluded HIV infection in infant","Client stopped ART because the infant was determined to not have HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE79
",,,,"HIVH.excludedHivInfectionInInfant",1,1,"",""
"HIVH.otherReasonForStoppingArt","HIVH.otherReasonForStoppingArt","","","",1,1,"","","","string {[]} {[]}
","Other reason for stopping ART","Client stopped ART for other reason","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE80
",,,,"HIVH.otherReasonForStoppingArt",1,1,"",""
"HIVH.otherReasonForStoppingArtSpecify","HIVH.otherReasonForStoppingArtSpecify","","","",1,1,"","","","string {[]} {[]}
","Other reason for stopping ART (specify)","Client stopped ART for other reason (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE81
",,,,"HIVH.otherReasonForStoppingArtSpecify",1,1,"",""
