"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVA","HIVA","HIVA","","","",0,*,"","","","null {[]} {[]}
","HIV.A Registration Logical Model","Logical Model for HIV.A Registration data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVA","HIVA.nationalProgrammeId","HIVA.nationalProgrammeId","","","",1,1,"","","","string {[]} {[]}
","National programme ID","National programme unique identifier assigned to the client, if used in the country","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE11
",,,,"HIVA.nationalProgrammeId",1,1,"",""
"HIVA","HIVA.nationalHealthInsuranceId","HIVA.nationalHealthInsuranceId","","","",1,1,"","","","string {[]} {[]}
","National health insurance ID","National health insurance unique identifier assigned to the client, if used in the country","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE12
",,,,"HIVA.nationalHealthInsuranceId",1,1,"",""
"HIVA","HIVA.countryOfBirth","HIVA.countryOfBirth","","","",1,1,"","","","string {[]} {[]}
","Country of birth","Country where the client was born","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE13
",,,,"HIVA.countryOfBirth",1,1,"",""
"HIVA","HIVA.dateOfBirth","HIVA.dateOfBirth","","","",1,1,"","","","string {[]} {[]}
","Date of birth","The clients date of birth (DOB) if known","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE14
",,,,"HIVA.dateOfBirth",1,1,"",""
"HIVA","HIVA.dateOfBirthUnknown","HIVA.dateOfBirthUnknown","","","",1,1,"","","","string {[]} {[]}
","Date of birth unknown","Is the clients DOB is unknown?","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE15
",,,,"HIVA.dateOfBirthUnknown",1,1,"",""
"HIVA","HIVA.estimatedAge","HIVA.estimatedAge","","","",1,1,"","","","string {[]} {[]}
","Estimated age","If DOB is unknown, enter the clients estimated age. Display clients age in number of years.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE16
",,,,"HIVA.estimatedAge",1,1,"",""
"HIVA","HIVA.age","HIVA.age","","","",1,1,"","","","string {[]} {[]}
","Age","Calculated age (number of years) of the client based on date of birth","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE17
",,,,"HIVA.age",1,1,"",""
"HIVA","HIVA.gender","HIVA.gender","","","",1,1,"","","","string {[]} {[]}
","Gender*","Gender of the client*","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE18
",,,,"HIVA.gender",1,1,"",""
"HIVA","HIVA.genderFemale","HIVA.genderFemale","","","",1,1,"","","","string {[]} {[]}
","Female","Client identifies as female","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE19
",,,,"HIVA.genderFemale",1,1,"",""
"HIVA","HIVA.genderMale","HIVA.genderMale","","","",1,1,"","","","string {[]} {[]}
","Male","Client identifies as male","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE20
",,,,"HIVA.genderMale",1,1,"",""
"HIVA","HIVA.genderTransgenderMale","HIVA.genderTransgenderMale","","","",1,1,"","","","string {[]} {[]}
","Transgender male","Client identifies as transgender male","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE21
",,,,"HIVA.genderTransgenderMale",1,1,"",""
"HIVA","HIVA.genderTransgenderFemale","HIVA.genderTransgenderFemale","","","",1,1,"","","","string {[]} {[]}
","Transgender female","Client identifies as transgender female","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE22
",,,,"HIVA.genderTransgenderFemale",1,1,"",""
"HIVA","HIVA.genderOther","HIVA.genderOther","","","",1,1,"","","","string {[]} {[]}
","Other","Additional category","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE23
",,,,"HIVA.genderOther",1,1,"",""
"HIVA","HIVA.genderOtherSpecify","HIVA.genderOtherSpecify","","","",1,1,"","","","string {[]} {[]}
","Other (specify)","Additional category (please specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE24
",,,,"HIVA.genderOtherSpecify",1,1,"",""
"HIVA","HIVA.sex","HIVA.sex","","","",1,1,"","","","string {[]} {[]}
","Sex","Sex of the client assigned at birth","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE25
",,,,"HIVA.sex",1,1,"",""
"HIVA","HIVA.sexFemale","HIVA.sexFemale","","","",1,1,"","","","string {[]} {[]}
","Female","Client identifies as female","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE26
",,,,"HIVA.sexFemale",1,1,"",""
"HIVA","HIVA.sexMale","HIVA.sexMale","","","",1,1,"","","","string {[]} {[]}
","Male","Client identifies as male","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE27
",,,,"HIVA.sexMale",1,1,"",""
"HIVA","HIVA.sexOther","HIVA.sexOther","","","",1,1,"","","","string {[]} {[]}
","Other","Client identifies in non-binary way or as a sexual and gender minority (or minorities)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE28
",,,,"HIVA.sexOther",1,1,"",""
"HIVA","HIVA.address","HIVA.address","","","",1,1,"","","","string {[]} {[]}
","Address","Clients home address or address which the client is consenting to disclose","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE29
",,,,"HIVA.address",1,1,"",""
"HIVA","HIVA.maritalStatus","HIVA.maritalStatus","","","",1,1,"","","","string {[]} {[]}
","Marital Status","Clients current marital status","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE30
",,,,"HIVA.maritalStatus",1,1,"",""
"HIVA","HIVA.unmarried","HIVA.unmarried","","","",1,1,"","","","string {[]} {[]}
","Unmarried","Client does not have an active marriage contract","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE31
",,,,"HIVA.unmarried",1,1,"",""
"HIVA","HIVA.neverMarried","HIVA.neverMarried","","","",1,1,"","","","string {[]} {[]}
","Never married","Client has never entered into a marriage contract","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE32
",,,,"HIVA.neverMarried",1,1,"",""
"HIVA","HIVA.married","HIVA.married","","","",1,1,"","","","string {[]} {[]}
","Married","A current marriage contract is active","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE33
",,,,"HIVA.married",1,1,"",""
"HIVA","HIVA.polygamous","HIVA.polygamous","","","",1,1,"","","","string {[]} {[]}
","Polygamous","Client is in a polygamous union","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE34
",,,,"HIVA.polygamous",1,1,"",""
"HIVA","HIVA.divorced","HIVA.divorced","","","",1,1,"","","","string {[]} {[]}
","Divorced ","Client is divorced, whereby marriage contract has been declared dissolved and inactive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE35
",,,,"HIVA.divorced",1,1,"",""
"HIVA","HIVA.widowed","HIVA.widowed","","","",1,1,"","","","string {[]} {[]}
","Widowed","Clients spouse has died","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE36
",,,,"HIVA.widowed",1,1,"",""
"HIVA","HIVA.unknown","HIVA.unknown","","","",1,1,"","","","string {[]} {[]}
","Unknown","Client does not wish to disclose marital status","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE37
",,,,"HIVA.unknown",1,1,"",""
"HIVA","HIVA.domesticPartner","HIVA.domesticPartner","","","",1,1,"","","","string {[]} {[]}
","Domestic partner","Client reports that they are in a domestic partnership","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE38
",,,,"HIVA.domesticPartner",1,1,"",""
"HIVA","HIVA.annulled","HIVA.annulled","","","",1,1,"","","","string {[]} {[]}
","Annulled","Clients marriage contract has been declared null and to have not existed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE39
",,,,"HIVA.annulled",1,1,"",""
"HIVA","HIVA.legallySeparated","HIVA.legallySeparated","","","",1,1,"","","","string {[]} {[]}
","Legally separated","Client is legally separated from their spouse","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE40
",,,,"HIVA.legallySeparated",1,1,"",""
"HIVA","HIVA.interlocutory","HIVA.interlocutory","","","",1,1,"","","","string {[]} {[]}
","Interlocutory","Client is subject to an interlocutory decree","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE41
",,,,"HIVA.interlocutory",1,1,"",""
"HIVA","HIVA.telephoneNumber","HIVA.telephoneNumber","","","",1,1,"","","","string {[]} {[]}
","Telephone number","Clients telephone number (a landline or a mobile phone number)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE42
",,,,"HIVA.telephoneNumber",1,1,"",""
"HIVA","HIVA.administrativeArea","HIVA.administrativeArea","","","",1,1,"","","","string {[]} {[]}
","[Administrative Area]","This should be a context-specific list of administrative areas, such as villages, districts, etc. The purpose of this data element is to allow for grouping and flagging of client data to a particular facilitys catchment area. This can be input into the system by the end user OR it can be automated in the database based on the end users attributes.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE43
",,,,"HIVA.administrativeArea",1,1,"",""
"HIVA","HIVA.communicationConsent","HIVA.communicationConsent","","","",1,1,"","","","string {[]} {[]}
","Communication consent","Indication that client gave consent to be contacted","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE44
",,,,"HIVA.communicationConsent",1,1,"",""
"HIVA","HIVA.reminderMessages","HIVA.reminderMessages","","","",1,1,"","","","string {[]} {[]}
","Reminder messages","Whether client wants to receive text or other messages as follow-up for HIV services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE45
",,,,"HIVA.reminderMessages",1,1,"",""
"HIVA","HIVA.communicationPreferenceS","HIVA.communicationPreferenceS","","","",1,1,"","","","string {[]} {[]}
","Communication preference(s)","How the client would like to receive family planning communications","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE46
",,,,"HIVA.communicationPreferenceS",1,1,"",""
"HIVA","HIVA.textMessageSms","HIVA.textMessageSms","","","",1,1,"","","","string {[]} {[]}
","Text message/SMS","The client would like to receive communications via Text message/SMS","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE47
",,,,"HIVA.textMessageSms",1,1,"",""
"HIVA","HIVA.voiceCall","HIVA.voiceCall","","","",1,1,"","","","string {[]} {[]}
","Voice call","Client would like to receive communications via voice call","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE48
",,,,"HIVA.voiceCall",1,1,"",""
"HIVA","HIVA.clientsEmail","HIVA.clientsEmail","","","",1,1,"","","","string {[]} {[]}
","Clients email","Clients primary email account where the client can be contacted","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE49
",,,,"HIVA.clientsEmail",1,1,"",""
"HIVA","HIVA.alternateContactsName","HIVA.alternateContactsName","","","",1,1,"","","","string {[]} {[]}
","Alternate contacts name","Name of an alternate contact, which could be next of kin (e.g. partner, husband, mother, sibling, etc.). The alternate contact would be used in the case of an emergency situation.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE50
",,,,"HIVA.alternateContactsName",1,1,"",""
"HIVA","HIVA.alternateContactsPhoneNumber","HIVA.alternateContactsPhoneNumber","","","",1,1,"","","","string {[]} {[]}
","Alternate contacts phone number","Phone number of the alternate contact","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE51
",,,,"HIVA.alternateContactsPhoneNumber",1,1,"",""
"HIVA","HIVA.alternateContactsAddress","HIVA.alternateContactsAddress","","","",1,1,"","","","string {[]} {[]}
","Alternate contacts address","Alternate contacts home address or address which the client is consenting to disclose","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE52
",,,,"HIVA.alternateContactsAddress",1,1,"",""
"HIVA","HIVA.alternateContactRelationship","HIVA.alternateContactRelationship","","","",1,1,"","","","string {[]} {[]}
","Alternate contact relationship","The alternate contacts relationship to the client (e.g. partner, husband, mother, sibling, etc.)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE53
",,,,"HIVA.alternateContactRelationship",1,1,"",""
"HIVB","HIVB","HIVB","","","",0,*,"","","","null {[]} {[]}
","HIV.B HTS visit Logical Model","Logical Model for HIV.B HTS visit data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVB","HIVB.reasonForVisit","HIVB.reasonForVisit","","","",1,1,"","","","string {[]} {[]}
","Reason for visit","Reason for HIV testing services visit","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE1
",,,,"HIVB.reasonForVisit",1,1,"",""
"HIVB","HIVB.firstTimeHivTest","HIVB.firstTimeHivTest","","","",1,1,"","","","string {[]} {[]}
","First-time HIV test","First encounter for screening for human immunodeficiency virus","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE2
",,,,"HIVB.firstTimeHivTest",1,1,"",""
"HIVB","HIVB.retestingForHiv","HIVB.retestingForHiv","","","",1,1,"","","","string {[]} {[]}
","Retesting for HIV","Retesting for human immunodeficiency virus","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE3
",,,,"HIVB.retestingForHiv",1,1,"",""
"HIVB","HIVB.hivTestingServicesVisit","HIVB.hivTestingServicesVisit","","","",1,1,"","","","string {[]} {[]}
","HIV testing services visit","Client attending facility for HIV testing services visit","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE4
",,,,"HIVB.hivTestingServicesVisit",1,1,"",""
"HIVB","HIVB.referredThroughPartnerServices","HIVB.referredThroughPartnerServices","","","",1,1,"","","","string {[]} {[]}
","Referred through partner services","Client reported coming to the facility after receiving a provider-assisted referral or patient referral from a contact or partner","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE5
",,,,"HIVB.referredThroughPartnerServices",1,1,"",""
"HIVB","HIVB.partnerOrContactOfAnIndexCase","HIVB.partnerOrContactOfAnIndexCase","","","",1,1,"","","","string {[]} {[]}
","Partner or contact of an index case","The client is a contact or partner of a person diagnosed with HIV (an index case)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE6
",,,,"HIVB.partnerOrContactOfAnIndexCase",1,1,"",""
"HIVB","HIVB.partnerOrContactOfAnHivTestingClientNonIndexCase","HIVB.partnerOrContactOfAnHivTestingClientNonIndexCase","","","",1,1,"","","","string {[]} {[]}
","Partner or contact of an HIV testing client (non-index case)","The client is a contact or partner identified through partner or social network services, but is not known to be a partner of an index-case","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE7
",,,,"HIVB.partnerOrContactOfAnHivTestingClientNonIndexCase",1,1,"",""
"HIVB","HIVB.typeOfContactOrPartnerForPartnerServices","HIVB.typeOfContactOrPartnerForPartnerServices","","","",1,1,"","","","string {[]} {[]}
","Type of contact or partner for partner services","Clients relationship to the person that referred the client for partner services or family services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE8
",,,,"HIVB.typeOfContactOrPartnerForPartnerServices",1,1,"",""
"HIVB","HIVB.biologicalChild","HIVB.biologicalChild","","","",1,1,"","","","string {[]} {[]}
","Biological child","Client is the biological child of the person that referred the client for family services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE9
",,,,"HIVB.biologicalChild",1,1,"",""
"HIVB","HIVB.drugInjectingPartner","HIVB.drugInjectingPartner","","","",1,1,"","","","string {[]} {[]}
","Drug-injecting partner","Client is a drug-injecting partner of the person that referred the client for partner services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE10
",,,,"HIVB.drugInjectingPartner",1,1,"",""
"HIVB","HIVB.sexualPartner","HIVB.sexualPartner","","","",1,1,"","","","string {[]} {[]}
","Sexual partner","Client is a sexual partner of the person that referred the client for partner services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE11
",,,,"HIVB.sexualPartner",1,1,"",""
"HIVB","HIVB.socialContact","HIVB.socialContact","","","",1,1,"","","","string {[]} {[]}
","Social contact","Client is a social contact of the person that referred the client for social-network services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE12
",,,,"HIVB.socialContact",1,1,"",""
"HIVB","HIVB.contactWithAndSuspectedExposureToHiv","HIVB.contactWithAndSuspectedExposureToHiv","","","",1,1,"","","","string {[]} {[]}
","Contact with and (suspected) exposure to HIV","When the client is reported to have had suspected exposure to HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE13
",,,,"HIVB.contactWithAndSuspectedExposureToHiv",1,1,"",""
"HIVB","HIVB.datetimeOfSuspectedExposureToHiv","HIVB.datetimeOfSuspectedExposureToHiv","","","",1,1,"","","","string {[]} {[]}
","Date/time of suspected exposure to HIV","Date and time when the client had suspected exposure to HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE14
",,,,"HIVB.datetimeOfSuspectedExposureToHiv",1,1,"",""
"HIVB","HIVB.testingEntryPoint","HIVB.testingEntryPoint","","","",1,1,"","","","string {[]} {[]}
","Testing entry point","Whether testing is happening in the community or at a facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE15
",,,,"HIVB.testingEntryPoint",1,1,"",""
"HIVB","HIVB.communityLevelTesting","HIVB.communityLevelTesting","","","",1,1,"","","","string {[]} {[]}
","Community-level testing","Testing is happening in the community, which includes mobile testing","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE16
",,,,"HIVB.communityLevelTesting",1,1,"",""
"HIVB","HIVB.facilityLevelTesting","HIVB.facilityLevelTesting","","","",1,1,"","","","string {[]} {[]}
","Facility-level testing","Where the testing is happening – at a facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE17
",,,,"HIVB.facilityLevelTesting",1,1,"",""
"HIVB","HIVB.entryPointForCommunityLevelTesting","HIVB.entryPointForCommunityLevelTesting","","","",1,1,"","","","string {[]} {[]}
","Entry point for community-level testing","Specific point in the community where testing is happening","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE18
",,,,"HIVB.entryPointForCommunityLevelTesting",1,1,"",""
"HIVB","HIVB.mobileTesting","HIVB.mobileTesting","","","",1,1,"","","","string {[]} {[]}
","Mobile testing (e.g. through vans or temporary testing facilities)","The client tested through mobile testing, such as through vans or temporary testing facilities","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE19
",,,,"HIVB.mobileTesting",1,1,"",""
"HIVB","HIVB.voluntaryCounsellingAndTestingCentres","HIVB.voluntaryCounsellingAndTestingCentres","","","",1,1,"","","","string {[]} {[]}
","Voluntary counselling and testing centres (not within a health facility setting)","The client tested at a voluntary counselling and testing centre (not in a health facility setting)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE20
",,,,"HIVB.voluntaryCounsellingAndTestingCentres",1,1,"",""
"HIVB","HIVB.otherCommunityBasedTesting","HIVB.otherCommunityBasedTesting","","","",1,1,"","","","string {[]} {[]}
","Other community-based testing","The client tested through another type of community-based testing","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE21
",,,,"HIVB.otherCommunityBasedTesting",1,1,"",""
"HIVB","HIVB.entryPointForFacilityLevelTesting","HIVB.entryPointForFacilityLevelTesting","","","",1,1,"","","","string {[]} {[]}
","Entry point for facility-level testing","Specific point where testing is happening at a facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE22
",,,,"HIVB.entryPointForFacilityLevelTesting",1,1,"",""
"HIVB","HIVB.providerInitiatedTestedInAClinicOrEmergencyFacility","HIVB.providerInitiatedTestedInAClinicOrEmergencyFacility","","","",1,1,"","","","string {[]} {[]}
","Provider-initiated tested in a clinic or emergency facility","The client tested though provider-initiated HIV testing & counselling, which could be at an emergency facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE23
",,,,"HIVB.providerInitiatedTestedInAClinicOrEmergencyFacility",1,1,"",""
"HIVB","HIVB.antenatalCareClinic","HIVB.antenatalCareClinic","","","",1,1,"","","","string {[]} {[]}
","Antenatal care clinic","The client tested at an antenatal care clinic, including labour and delivery","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE24
",,,,"HIVB.antenatalCareClinic",1,1,"",""
"HIVB","HIVB.voluntaryCounsellingAndTestingWithinAHealthFacilitySetting","HIVB.voluntaryCounsellingAndTestingWithinAHealthFacilitySetting","","","",1,1,"","","","string {[]} {[]}
","Voluntary counselling and testing (within a health facility setting)","The client tested through voluntary counselling and testing (within a health facility setting)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE25
",,,,"HIVB.voluntaryCounsellingAndTestingWithinAHealthFacilitySetting",1,1,"",""
"HIVB","HIVB.familyPlanningClinic","HIVB.familyPlanningClinic","","","",1,1,"","","","string {[]} {[]}
","Family planning clinic","The client tested at a family planning clinic","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE26
",,,,"HIVB.familyPlanningClinic",1,1,"",""
"HIVB","HIVB.otherFacilityLevelTesting","HIVB.otherFacilityLevelTesting","","","",1,1,"","","","string {[]} {[]}
","Other facility-level testing","The client tested at another type of facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE27
",,,,"HIVB.otherFacilityLevelTesting",1,1,"",""
"HIVB","HIVB.tuberculosisTbClinic","HIVB.tuberculosisTbClinic","","","",1,1,"","","","string {[]} {[]}
","Tuberculosis (TB) clinic","The client tested at a TB clinic","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE28
",,,,"HIVB.tuberculosisTbClinic",1,1,"",""
"HIVB","HIVB.currentlyPregnant","HIVB.currentlyPregnant","","","",1,1,"","","","string {[]} {[]}
","Currently pregnant","Client is currently pregnant","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE29
",,,,"HIVB.currentlyPregnant",1,1,"",""
"HIVB","HIVB.gestationalAge","HIVB.gestationalAge","","","",1,1,"","","","string {[]} {[]}
","Gestational age","Gestational age in weeks and/or days depending on the source of gestational age","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE30
",,,,"HIVB.gestationalAge",1,1,"",""
