"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVA","HIVA","","","",0,*,"","","","null {[]} {[]}
","HIV.A Registration Logical Model","Logical Model for HIV.A Registration data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVA.nationalProgrammeId","HIVA.nationalProgrammeId","","","",1,1,"","","","string {[]} {[]}
","National programme ID","National programme unique identifier assigned to the client, if used in the country","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE11
",,,,"HIVA.nationalProgrammeId",1,1,"",""
"HIVA.nationalHealthInsuranceId","HIVA.nationalHealthInsuranceId","","","",1,1,"","","","string {[]} {[]}
","National health insurance ID","National health insurance unique identifier assigned to the client, if used in the country","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE12
",,,,"HIVA.nationalHealthInsuranceId",1,1,"",""
"HIVA.countryOfBirth","HIVA.countryOfBirth","","","",1,1,"","","","string {[]} {[]}
","Country of birth","Country where the client was born","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE13
",,,,"HIVA.countryOfBirth",1,1,"",""
"HIVA.dateOfBirth","HIVA.dateOfBirth","","","",1,1,"","","","string {[]} {[]}
","Date of birth","The clients date of birth (DOB) if known","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE14
",,,,"HIVA.dateOfBirth",1,1,"",""
"HIVA.dateOfBirthUnknown","HIVA.dateOfBirthUnknown","","","",1,1,"","","","string {[]} {[]}
","Date of birth unknown","Is the clients DOB is unknown?","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE15
",,,,"HIVA.dateOfBirthUnknown",1,1,"",""
"HIVA.estimatedAge","HIVA.estimatedAge","","","",1,1,"","","","string {[]} {[]}
","Estimated age","If DOB is unknown, enter the clients estimated age. Display clients age in number of years.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE16
",,,,"HIVA.estimatedAge",1,1,"",""
"HIVA.age","HIVA.age","","","",1,1,"","","","string {[]} {[]}
","Age","Calculated age (number of years) of the client based on date of birth","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE17
",,,,"HIVA.age",1,1,"",""
"HIVA.gender","HIVA.gender","","","",1,1,"","","","string {[]} {[]}
","Gender*","Gender of the client*","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE18
",,,,"HIVA.gender",1,1,"",""
"HIVA.genderFemale","HIVA.genderFemale","","","",1,1,"","","","string {[]} {[]}
","Female","Client identifies as female","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE19
",,,,"HIVA.genderFemale",1,1,"",""
"HIVA.genderMale","HIVA.genderMale","","","",1,1,"","","","string {[]} {[]}
","Male","Client identifies as male","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE20
",,,,"HIVA.genderMale",1,1,"",""
"HIVA.genderTransgenderMale","HIVA.genderTransgenderMale","","","",1,1,"","","","string {[]} {[]}
","Transgender male","Client identifies as transgender male","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE21
",,,,"HIVA.genderTransgenderMale",1,1,"",""
"HIVA.genderTransgenderFemale","HIVA.genderTransgenderFemale","","","",1,1,"","","","string {[]} {[]}
","Transgender female","Client identifies as transgender female","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE22
",,,,"HIVA.genderTransgenderFemale",1,1,"",""
"HIVA.genderOther","HIVA.genderOther","","","",1,1,"","","","string {[]} {[]}
","Other","Additional category","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE23
",,,,"HIVA.genderOther",1,1,"",""
"HIVA.genderOtherSpecify","HIVA.genderOtherSpecify","","","",1,1,"","","","string {[]} {[]}
","Other (specify)","Additional category (please specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE24
",,,,"HIVA.genderOtherSpecify",1,1,"",""
"HIVA.sex","HIVA.sex","","","",1,1,"","","","string {[]} {[]}
","Sex","Sex of the client assigned at birth","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE25
",,,,"HIVA.sex",1,1,"",""
"HIVA.sexFemale","HIVA.sexFemale","","","",1,1,"","","","string {[]} {[]}
","Female","Client identifies as female","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE26
",,,,"HIVA.sexFemale",1,1,"",""
"HIVA.sexMale","HIVA.sexMale","","","",1,1,"","","","string {[]} {[]}
","Male","Client identifies as male","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE27
",,,,"HIVA.sexMale",1,1,"",""
"HIVA.sexOther","HIVA.sexOther","","","",1,1,"","","","string {[]} {[]}
","Other","Client identifies in non-binary way or as a sexual and gender minority (or minorities)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE28
",,,,"HIVA.sexOther",1,1,"",""
"HIVA.address","HIVA.address","","","",1,1,"","","","string {[]} {[]}
","Address","Clients home address or address which the client is consenting to disclose","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE29
",,,,"HIVA.address",1,1,"",""
"HIVA.maritalStatus","HIVA.maritalStatus","","","",1,1,"","","","string {[]} {[]}
","Marital Status","Clients current marital status","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE30
",,,,"HIVA.maritalStatus",1,1,"",""
"HIVA.unmarried","HIVA.unmarried","","","",1,1,"","","","string {[]} {[]}
","Unmarried","Client does not have an active marriage contract","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE31
",,,,"HIVA.unmarried",1,1,"",""
"HIVA.neverMarried","HIVA.neverMarried","","","",1,1,"","","","string {[]} {[]}
","Never married","Client has never entered into a marriage contract","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE32
",,,,"HIVA.neverMarried",1,1,"",""
"HIVA.married","HIVA.married","","","",1,1,"","","","string {[]} {[]}
","Married","A current marriage contract is active","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE33
",,,,"HIVA.married",1,1,"",""
"HIVA.polygamous","HIVA.polygamous","","","",1,1,"","","","string {[]} {[]}
","Polygamous","Client is in a polygamous union","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE34
",,,,"HIVA.polygamous",1,1,"",""
"HIVA.divorced","HIVA.divorced","","","",1,1,"","","","string {[]} {[]}
","Divorced ","Client is divorced, whereby marriage contract has been declared dissolved and inactive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE35
",,,,"HIVA.divorced",1,1,"",""
"HIVA.widowed","HIVA.widowed","","","",1,1,"","","","string {[]} {[]}
","Widowed","Clients spouse has died","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE36
",,,,"HIVA.widowed",1,1,"",""
"HIVA.unknown","HIVA.unknown","","","",1,1,"","","","string {[]} {[]}
","Unknown","Client does not wish to disclose marital status","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE37
",,,,"HIVA.unknown",1,1,"",""
"HIVA.domesticPartner","HIVA.domesticPartner","","","",1,1,"","","","string {[]} {[]}
","Domestic partner","Client reports that they are in a domestic partnership","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE38
",,,,"HIVA.domesticPartner",1,1,"",""
"HIVA.annulled","HIVA.annulled","","","",1,1,"","","","string {[]} {[]}
","Annulled","Clients marriage contract has been declared null and to have not existed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE39
",,,,"HIVA.annulled",1,1,"",""
"HIVA.legallySeparated","HIVA.legallySeparated","","","",1,1,"","","","string {[]} {[]}
","Legally separated","Client is legally separated from their spouse","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE40
",,,,"HIVA.legallySeparated",1,1,"",""
"HIVA.interlocutory","HIVA.interlocutory","","","",1,1,"","","","string {[]} {[]}
","Interlocutory","Client is subject to an interlocutory decree","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE41
",,,,"HIVA.interlocutory",1,1,"",""
"HIVA.telephoneNumber","HIVA.telephoneNumber","","","",1,1,"","","","string {[]} {[]}
","Telephone number","Clients telephone number (a landline or a mobile phone number)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE42
",,,,"HIVA.telephoneNumber",1,1,"",""
"HIVA.administrativeArea","HIVA.administrativeArea","","","",1,1,"","","","string {[]} {[]}
","[Administrative Area]","This should be a context-specific list of administrative areas, such as villages, districts, etc. The purpose of this data element is to allow for grouping and flagging of client data to a particular facilitys catchment area. This can be input into the system by the end user OR it can be automated in the database based on the end users attributes.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE43
",,,,"HIVA.administrativeArea",1,1,"",""
"HIVA.communicationConsent","HIVA.communicationConsent","","","",1,1,"","","","string {[]} {[]}
","Communication consent","Indication that client gave consent to be contacted","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE44
",,,,"HIVA.communicationConsent",1,1,"",""
"HIVA.reminderMessages","HIVA.reminderMessages","","","",1,1,"","","","string {[]} {[]}
","Reminder messages","Whether client wants to receive text or other messages as follow-up for HIV services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE45
",,,,"HIVA.reminderMessages",1,1,"",""
"HIVA.communicationPreferenceS","HIVA.communicationPreferenceS","","","",1,1,"","","","string {[]} {[]}
","Communication preference(s)","How the client would like to receive family planning communications","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE46
",,,,"HIVA.communicationPreferenceS",1,1,"",""
"HIVA.textMessageSms","HIVA.textMessageSms","","","",1,1,"","","","string {[]} {[]}
","Text message/SMS","The client would like to receive communications via Text message/SMS","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE47
",,,,"HIVA.textMessageSms",1,1,"",""
"HIVA.voiceCall","HIVA.voiceCall","","","",1,1,"","","","string {[]} {[]}
","Voice call","Client would like to receive communications via voice call","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE48
",,,,"HIVA.voiceCall",1,1,"",""
"HIVA.clientsEmail","HIVA.clientsEmail","","","",1,1,"","","","string {[]} {[]}
","Clients email","Clients primary email account where the client can be contacted","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE49
",,,,"HIVA.clientsEmail",1,1,"",""
"HIVA.alternateContactsName","HIVA.alternateContactsName","","","",1,1,"","","","string {[]} {[]}
","Alternate contacts name","Name of an alternate contact, which could be next of kin (e.g. partner, husband, mother, sibling, etc.). The alternate contact would be used in the case of an emergency situation.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE50
",,,,"HIVA.alternateContactsName",1,1,"",""
"HIVA.alternateContactsPhoneNumber","HIVA.alternateContactsPhoneNumber","","","",1,1,"","","","string {[]} {[]}
","Alternate contacts phone number","Phone number of the alternate contact","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE51
",,,,"HIVA.alternateContactsPhoneNumber",1,1,"",""
"HIVA.alternateContactsAddress","HIVA.alternateContactsAddress","","","",1,1,"","","","string {[]} {[]}
","Alternate contacts address","Alternate contacts home address or address which the client is consenting to disclose","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE52
",,,,"HIVA.alternateContactsAddress",1,1,"",""
"HIVA.alternateContactRelationship","HIVA.alternateContactRelationship","","","",1,1,"","","","string {[]} {[]}
","Alternate contact relationship","The alternate contacts relationship to the client (e.g. partner, husband, mother, sibling, etc.)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE53
",,,,"HIVA.alternateContactRelationship",1,1,"",""
